Token,Index
</s>,0
<unk>,1
",",2
.,3
▁de,4
▁the,5
▁la,6
▁of,7
▁a,8
s,9
▁and,10
▁y,11
▁en,12
▁to,13
▁el,14
▁que,15
▁in,16
▁los,17
▁las,18
▁del,19
',20
?,21
▁(,22
▁for,23
▁para,24
▁,25
▁se,26
▁that,27
▁un,28
▁con,29
-,30
▁is,31
▁-,32
▁I,33
:,34
▁on,35
▁por,36
▁no,37
▁una,38
),39
▁you,40
▁with,41
▁The,42
▁es,43
▁be,44
▁su,45
▁by,46
▁al,47
▁it,48
▁as,49
▁¿,50
;,51
"▁""",52
▁are,53
▁El,54
!,55
t,56
▁lo,57
▁this,58
▁was,59
▁o,60
n,61
▁or,62
▁from,63
▁not,64
▁have,65
▁sobre,66
...,67
▁como,68
▁La,69
▁A,70
▁No,71
▁más,72
▁at,73
▁me,74
a,75
▁an,76
/,77
▁En,78
▁will,79
▁which,80
▁all,81
▁has,82
▁your,83
▁sus,84
▁we,85
▁its,86
▁ha,87
▁can,88
▁In,89
▁their,90
r,91
m,92
ing,93
▁It,94
▁he,95
d,96
o,97
es,98
▁You,99
re,100
▁been,101
▁they,102
).,103
▁este,104
▁one,105
▁also,106
▁¡,107
▁está,108
▁were,109
e,110
▁1,111
▁entre,112
▁do,113
▁other,114
▁had,115
▁more,116
"),",117
ed,118
▁his,119
▁out,120
▁but,121
▁si,122
▁son,123
▁We,124
▁my,125
A,126
"""",127
▁United,128
▁e,129
▁should,130
▁Los,131
▁también,132
▁about,133
▁would,134
▁esta,135
▁General,136
▁ser,137
▁who,138
▁there,139
▁our,140
▁up,141
▁Estados,142
▁This,143
▁“,144
▁2,145
▁',146
▁so,147
▁3,148
▁Comisión,149
▁what,150
y,151
se,152
▁States,153
▁todos,154
▁mi,155
do,156
▁puede,157
▁time,158
▁han,159
▁He,160
▁know,161
S,162
▁todo,163
▁Se,164
▁le,165
▁pero,166
▁them,167
▁Naciones,168
▁Unidas,169
▁Committee,170
▁Y,171
▁like,172
▁Nations,173
▁if,174
▁S,175
▁into,176
▁Es,177
▁te,178
▁such,179
▁people,180
▁desarrollo,181
▁información,182
▁any,183
▁What,184
▁países,185
▁Consejo,186
▁parte,187
▁And,188
▁right,189
C,190
▁Council,191
▁así,192
▁Por,193
▁sin,194
’,195
▁new,196
▁Commission,197
▁work,198
da,199
▁contra,200
▁4,201
▁C,202
te,203
▁information,204
▁años,205
▁these,206
▁5,207
▁when,208
▁just,209
ll,210
▁only,211
▁bien,212
▁tu,213
▁under,214
mos,215
▁Si,216
▁10,217
▁may,218
▁Las,219
▁him,220
▁cuando,221
▁international,222
▁fue,223
▁De,224
▁her,225
▁derechos,226
▁here,227
▁us,228
▁shall,229
c,230
▁qué,231
▁dos,232
▁social,233
▁some,234
▁than,235
▁tiene,236
er,237
▁particular,238
▁muy,239
▁countries,240
▁those,241
▁re,242
ve,243
▁don,244
▁artículo,245
▁s,246
▁rights,247
▁E,248
▁made,249
ly,250
▁personas,251
▁development,252
▁desde,253
▁between,254
▁well,255
▁Comité,256
▁European,257
▁hacer,258
▁vez,259
la,260
b,261
▁otros,262
▁two,263
á,264
▁need,265
▁B,266
▁ya,267
▁use,268
▁first,269
i,270
▁over,271
▁get,272
▁take,273
▁trabajo,274
▁must,275
ndo,276
▁report,277
Qué,278
lo,279
▁medidas,280
▁through,281
▁now,282
▁tiempo,283
in,284
▁6,285
▁could,286
mente,287
on,288
▁human,289
▁go,290
▁where,291
▁years,292
▁aquí,293
▁general,294
▁período,295
▁miembros,296
▁lugar,297
▁make,298
de,299
▁P,300
▁hay,301
▁hasta,302
▁State,303
▁cada,304
▁informe,305
▁per,306
▁including,307
▁Estado,308
▁están,309
▁very,310
▁support,311
▁–,312
▁servicios,313
▁durante,314
al,315
▁national,316
▁programa,317
▁18,318
▁todas,319
ó,320
▁15,321
l,322
▁said,323
en,324
▁want,325
ba,326
▁way,327
▁[,328
▁7,329
▁vida,330
▁against,331
▁But,332
▁see,333
▁most,334
▁That,335
▁forma,336
▁internacional,337
▁eso,338
▁sistema,339
▁women,340
▁mejor,341
▁era,342
▁system,343
▁Article,344
▁actividades,345
no,346
▁If,347
▁children,348
▁20,349
▁Lo,350
▁Con,351
▁—,352
▁nos,353
▁debe,354
▁Al,355
me,356
▁esto,357
▁derecho,358
g,359
▁aplicación,360
to,361
▁8,362
▁cuenta,363
▁she,364
▁30,365
▁ese,366
▁12,367
▁world,368
▁Mr,369
▁how,370
""".",371
▁mundo,372
],373
▁So,374
▁pueden,375
▁fin,376
▁Me,377
▁Member,378
▁otras,379
le,380
▁being,381
▁sido,382
▁sea,383
▁country,384
▁Pero,385
▁God,386
▁good,387
▁seguridad,388
▁For,389
▁order,390
▁humanos,391
▁Dios,392
ción,393
▁Sí,394
".""",395
▁niños,396
▁many,397
▁law,398
L,399
▁tanto,400
▁había,401
▁did,402
▁...,403
▁país,404
▁number,405
▁Para,406
th,407
▁mismo,408
▁There,409
▁services,410
▁control,411
2,412
▁think,413
▁because,414
▁uno,415
▁sólo,416
▁before,417
▁Oh,418
▁gran,419
▁They,420
▁after,421
▁same,422
an,423
▁proyecto,424
▁O,425
▁él,426
▁life,427
▁hecho,428
▁personal,429
▁measures,430
▁caso,431
▁To,432
I,433
▁día,434
▁resolución,435
▁año,436
▁antes,437
▁sesiones,438
▁part,439
▁sector,440
▁9,441
▁within,442
▁respecto,443
▁ahora,444
▁then,445
▁D,446
▁total,447
▁yo,448
▁resolution,449
▁back,450
▁activities,451
▁used,452
▁year,453
▁mayor,454
▁even,455
▁mujeres,456
▁public,457
▁place,458
▁As,459
▁esa,460
▁porque,461
▁area,462
▁man,463
▁come,464
▁International,465
▁algo,466
▁At,467
▁11,468
▁acuerdo,469
▁best,470
▁menos,471
▁apoyo,472
▁Sr,473
▁nivel,474
▁implementation,475
▁down,476
or,477
▁during,478
▁recursos,479
▁Convention,480
▁Su,481
▁presente,482
▁got,483
▁hace,484
3,485
▁Un,486
é,487
▁ni,488
▁regional,489
E,490
▁14,491
▁Gobierno,492
▁16,493
B,494
”,495
▁programas,496
▁Government,497
▁plan,498
▁All,499
▁F,500
▁relación,501
▁day,502
dos,503
▁without,504
▁después,505
▁datos,506
▁nuevo,507
▁L,508
▁T,509
▁economic,510
▁following,511
▁going,512
▁important,513
ra,514
▁session,515
▁manera,516
▁situación,517
▁estos,518
▁each,519
▁otra,520
▁local,521
▁Re,522
▁Assembly,523
das,524
▁tres,525
▁otro,526
▁three,527
▁ellos,528
▁nacional,529
▁case,530
▁tipo,531
▁17,532
▁Asamblea,533
▁help,534
▁19,535
▁proceso,536
▁both,537
▁tener,538
▁Este,539
▁New,540
▁process,541
▁donde,542
▁política,543
­,544
▁provide,545
▁tienen,546
ta,547
co,548
▁casa,549
▁non,550
▁usted,551
▁She,552
▁13,553
▁meeting,554
▁ver,555
▁set,556
▁importante,557
▁Presidente,558
▁level,559
▁say,560
▁base,561
▁número,562
▁b,563
▁own,564
ía,565
▁security,566
▁does,567
▁G,568
▁Unión,569
▁cualquier,570
▁nuestro,571
▁Social,572
com,573
▁25,574
▁tan,575
ar,576
▁organizaciones,577
No,578
▁24,579
▁health,580
▁provided,581
▁productos,582
▁mucho,583
▁Esta,584
Y,585
▁Sin,586
▁M,587
▁programme,588
General,589
▁much,590
▁p,591
▁different,592
k,593
▁How,594
▁policy,595
▁embargo,596
▁real,597
▁cooperación,598
▁medio,599
▁protección,600
▁favor,601
▁high,602
▁Well,603
▁legal,604
▁Te,605
▁Union,606
▁financial,607
▁ensure,608
ron,609
▁Grupo,610
▁cooperation,611
▁long,612
▁Secretary,613
el,614
D,615
▁still,616
▁period,617
na,618
▁decir,619
▁Le,620
▁taken,621
▁toda,622
▁Secretario,623
▁internacionales,624
▁condiciones,625
▁President,626
▁available,627
▁días,628
▁solo,629
▁members,630
▁paz,631
▁final,632
▁data,633
▁find,634
▁millones,635
▁ejemplo,636
▁nuestra,637
▁Reglamento,638
▁On,639
▁last,640
▁possible,641
▁nacionales,642
▁end,643
▁Internacional,644
▁posible,645
▁Convención,646
▁civil,647
▁mediante,648
▁Mi,649
▁momento,650
▁Europea,651
▁areas,652
▁give,653
▁c,654
▁Yeah,655
▁free,656
▁resources,657
▁nombre,658
▁estaba,659
is,660
▁further,661
▁República,662
▁31,663
▁Una,664
as,665
▁estas,666
▁Republic,667
▁ella,668
▁asistencia,669
▁Do,670
▁since,671
▁deben,672
▁mujer,673
▁Community,674
▁am,675
""",",676
▁calidad,677
▁political,678
▁les,679
▁siempre,680
▁estar,681
▁cosas,682
▁great,683
▁salud,684
▁_,685
▁access,686
▁U,687
▁too,688
▁«,689
▁while,690
▁estado,691
▁San,692
▁decision,693
▁uso,694
▁online,695
▁21,696
▁II,697
f,698
▁algunos,699
▁view,700
▁Además,701
h,702
ma,703
z,704
án,705
▁DE,706
▁nada,707
▁action,708
▁protection,709
▁party,710
▁Yo,711
▁Rights,712
▁December,713
▁capacidad,714
(,715
▁N,716
▁cuestiones,717
▁working,718
▁education,719
▁párrafo,720
▁necessary,721
▁ex,722
▁Regulation,723
▁nosotros,724
▁marco,725
▁22,726
▁organizations,727
u,728
P,729
▁d,730
▁R,731
▁situation,732
p,733
ciones,734
▁special,735
▁My,736
▁web,737
▁&,738
▁article,739
os,740
▁paragraph,741
▁issues,742
▁conformidad,743
▁va,744
▁efforts,745
x,746
▁acceso,747
▁políticas,748
▁primera,749
▁Security,750
▁diciembre,751
▁sí,752
▁dólares,753
▁every,754
1,755
▁dijo,756
▁V,757
▁among,758
▁será,759
▁Unidos,760
▁atención,761
▁También,762
di,763
▁partes,764
▁casos,765
▁means,766
▁family,767
▁Israel,768
▁K,769
▁business,770
Por,771
▁full,772
O,773
▁training,774
▁something,775
▁service,776
▁cual,777
▁problemas,778
▁ayuda,779
▁materia,780
▁tal,781
▁/,782
▁Seguridad,783
▁0,784
▁car,785
