Ingles,Español,Traduccion
Go.,Ve.,Vete.
Go.,Vete.,Vete.
Go.,Vaya.,Vete.
Go.,Váyase.,Vete.
Hi.,Hola.,Hola.
Run!,¡Corre!,¡Corre!
Run.,Corred.,Corre.
Who?,¿Quién?,¿Quién?
Fire!,¡Fuego!,¡Fuego!
Fire!,¡Incendio!,¡Fuego!
Fire!,¡Disparad!,¡Fuego!
Help!,¡Ayuda!,¡Socorro!
Help!,¡Socorro! ¡Auxilio!,¡Socorro!
Help!,¡Auxilio!,¡Socorro!
Jump!,¡Salta!,¡Salta!
Jump.,Salte.,Salta.
Stop!,¡Parad!,¡Alto!
Stop!,¡Para!,¡Alto!
Stop!,¡Pare!,¡Alto!
Wait!,¡Espera!,¡Espera!
Wait.,Esperen.,Espera.
Go on.,Continúa.,Vamos.
Go on.,Continúe.,Vamos.
Hello!,Hola.,¡Hola!
I ran.,Corrí.,Corrí.
I ran.,Corría.,Corrí.
I try.,Lo intento.,Lo intento.
I won!,¡He ganado!,¡Gané!
Oh no!,"¡Oh, no!","¡Oh, no!"
Relax.,Tomátelo con soda.,Relájate.
Smile.,Sonríe.,Sonríe.
Attack!,¡Al ataque!,¡Ataquen!
Attack!,¡Atacad!,¡Ataquen!
Get up.,Levanta.,Levántate.
Go now.,Ve ahora mismo.,Vete ahora.
Got it!,¡Lo tengo!,¡Lo tengo!
Got it?,¿Lo pillas?,¿Entendido?
Got it?,¿Entendiste?,¿Entendido?
He ran.,Él corrió.,Huyó.
Hop in.,Métete adentro.,Sube.
Hug me.,Abrázame.,Abrázame.
I fell.,Me caí.,Me caí.
I know.,Yo lo sé.,Lo sé.
I left.,Salí.,Me fui.
I lied.,Mentí.,Mentí.
I lost.,Perdí.,Perdí.
I quit.,Dimito.,Renuncio.
I quit.,Renuncié.,Renuncio.
I work.,Estoy trabajando.,Trabajo.
I'm 19.,Tengo diecinueve.,Tengo 19 años.
I'm up.,Estoy levantado.,Me levanto.
Listen.,Escucha.,Escucha.
Listen.,Escuche.,Escucha.
Listen.,Escuchen.,Escucha.
No way!,¡No puede ser!,¡De ninguna manera!
No way!,De ninguna manera.,¡De ninguna manera!
No way!,¡De ninguna manera!,¡De ninguna manera!
No way!,¡Imposible!,¡De ninguna manera!
No way!,¡De ningún modo!,¡De ninguna manera!
No way!,¡De eso nada!,¡De ninguna manera!
No way!,¡Ni cagando!,¡De ninguna manera!
No way!,¡Mangos!,¡De ninguna manera!
No way!,¡Minga!,¡De ninguna manera!
No way!,¡Ni en pedo!,¡De ninguna manera!
Really?,¿En serio?,¿En serio?
Really?,¿La verdad?,¿En serio?
Thanks.,¡Gracias!,Gracias.
Thanks.,Gracias.,Gracias.
